aika_fi,toteutunut_MW,fingrid_ennuste_MW
2026-08-31 03:15:00+03:00,7433.76,11997.0
2026-08-31 03:30:00+03:00,7393.77,11997.0
2026-08-31 03:45:00+03:00,7357.79,11997.0
2026-08-31 04:00:00+03:00,7399.23,11997.0
2026-08-31 04:15:00+03:00,7403.33,11997.0
2026-08-31 04:30:00+03:00,7427.77,11997.0
2026-08-31 04:45:00+03:00,7495.86,11997.0
2026-08-31 05:00:00+03:00,7499.85,11997.0
2026-08-31 05:15:00+03:00,7509.53,11997.0
2026-08-31 05:30:00+03:00,7551.1,11997.0
2026-08-31 05:45:00+03:00,7666.62,11997.0
2026-08-31 06:00:00+03:00,7961.75,11997.0
2026-08-31 06:15:00+03:00,8012.17,11997.0
2026-08-31 06:30:00+03:00,8102.0,11997.0
2026-08-31 06:45:00+03:00,8241.36,11997.0
2026-08-31 07:00:00+03:00,8428.77,11997.0
2026-08-31 07:15:00+03:00,8402.14,11997.0
2026-08-31 07:30:00+03:00,8478.94,11997.0
2026-08-31 07:45:00+03:00,8645.6,11997.0
2026-08-31 08:00:00+03:00,8648.68,11997.0
2026-08-31 08:15:00+03:00,8736.48,11997.0
2026-08-31 08:30:00+03:00,8868.15,11997.0
2026-08-31 08:45:00+03:00,8865.01,11997.0
2026-08-31 09:00:00+03:00,8905.16,11997.0
2026-08-31 09:15:00+03:00,8893.99,11997.0
2026-08-31 09:30:00+03:00,9001.54,11997.0
2026-08-31 09:45:00+03:00,9040.53,11997.0
2026-08-31 10:00:00+03:00,8954.93,11997.0
2026-08-31 10:15:00+03:00,8924.83,11997.0
2026-08-31 10:30:00+03:00,8984.66,11997.0
2026-08-31 10:45:00+03:00,9138.3,11997.0
2026-08-31 11:00:00+03:00,9190.46,11997.0
2026-08-31 11:15:00+03:00,9162.49,11997.0
2026-08-31 11:30:00+03:00,9218.42,11997.0
2026-08-31 11:45:00+03:00,9184.88,11997.0
2026-08-31 12:00:00+03:00,9148.84,11997.0
2026-08-31 12:15:00+03:00,9234.29,11997.0
2026-08-31 12:30:00+03:00,9155.17,11997.0
2026-08-31 12:45:00+03:00,9164.02,11997.0
2026-08-31 13:00:00+03:00,9304.02,11997.0
2026-08-31 13:15:00+03:00,9461.0,11997.0
2026-08-31 13:30:00+03:00,9394.5,11997.0
2026-08-31 13:45:00+03:00,9391.66,11997.0
2026-08-31 14:00:00+03:00,9349.45,11997.0
2026-08-31 14:15:00+03:00,9287.74,11997.0
2026-08-31 14:30:00+03:00,9302.62,11997.0
2026-08-31 14:45:00+03:00,9283.05,11997.0
2026-08-31 15:00:00+03:00,9200.25,11997.0
2026-08-31 15:15:00+03:00,9224.21,11997.0
2026-08-31 15:30:00+03:00,9257.6,11997.0
2026-08-31 15:45:00+03:00,9208.34,11997.0
2026-08-31 16:00:00+03:00,9037.37,11997.0
